Date,Time (UTC),Booster Version,Dragon Version,Launch Site,Mission,Payload Mass (kg),Payload Mass (lb),Payload Type,Payload Manufacturer,Orbit,Customer,Customer Type,Customer Country,Mission Outcome,Landing Outcome,Drone Ship,Drone Ship Type,Notes
07-08-2020,05:12:00,F9 B5  B1051.5,Dragon Not Used,KSC LC-39A,Starlink 9 v1.0,14932,32925,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Ninth operational launch of Starlink satellites. This mission carried 57 Starlink satellites and two BlackSky satellites as rideshare. This first rideshare contracted with Spaceflight Industries was dubbed internally as ""SXRS-1"". After previously testing on a single Starlink, the launch will have all 57 satellites include a ""VisorSat"" to reduce their brightness."
18-08-2020,14:31:00,F9 B5  B1049.6,Dragon Not Used,CCAFS SLC-40,Starlink 10 v1.0,15440,34045,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Tenth operational launch of Starlink satellites. Starlink flight including three SkySat rideshare satellites. First time a booster made a 6th flight. The fairings previously flew on Starlink 3 v1.0. One fairing half was caught by Go Ms. Tree, the other was scooped out of the ocean."
30-08-2020,23:18:00,F9 B5  B1059.4,Dragon Not Used,CCAFS SLC-40,SAOCOM 1B,3130,6902,Observation Satellite,INVAP,SSO,CONAE,Government,Argentina,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"The 100th launch in SpaceX's history, first time a commercial launch on a fourth launch of a booster, it deployed Earth-observing satellites built by Argentina's space agency CONAE and two rideshares. SpaceX was contracted in 2009 for an initial launch as early as 2013. Originally planned for launch from Vandenberg but launched from Cape Canaveral, which made it the first flight from there using the southern corridor to a polar orbit since 1969."
03-09-2020,12:46:14,F9 B5  B1060.2,Dragon Not Used,KSC LC-39A,Starlink 11 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Eleventh operational launch of Starlink satellites, bringing the total to 713 launched Starlink satellites."
06-10-2020,11:29:34,F9 B5  B1058.3,Dragon Not Used,KSC LC-39A,Starlink 12 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Twelfth operational launch of Starlink satellites, which for the first time used a fairing half on its third launch. Also, the B1058 holds the title for the shortest time a booster reached 3 flights which is 129 days beating B1046 by 77 days."
18-10-202,12:25:57,F9 B5  B1051.6,Dragon Not Used,KSC LC-39A,Starlink 13 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,Thirteenth operational launch of Starlink satellites. Second time a booster was flown six times and first time both fairing halves were flown a third time. Both fairing halves landed on their respective ships but one fairing broke the net on Ms Tree.
24-10-2020,15:31:34,F9 B5  B1060.3,Dragon Not Used,CCAFS SLC-40,Starlink 14 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,Fourteenth operational launch of Starlink satellites and the 100th successful launch of a Falcon vehicle.
05-11-2020,23:24:23,F9 B5  B1062.1,Dragon Not Used,CCAFS SLC-40,GPS III-04,4311,9506,Observation Satellite,Lockheed Martin,MEO,USSF,Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Manufacturing contract awarded in January 2012, underwent thermal vacuum testing in December 2018, while the launch contract was awarded in March 2018. A launch attempt on 3 October 2020 was aborted two seconds before liftoff due to early start in two engines. Following the abort, two engines from B1062 were sent for further testing. The abort also caused delays to the Crew-1 launch to allow time for data review."
16-11-2020,00:27:00,F9 B5  B1061.1,C207.1,KSC LC-39A,Crew-1,12500,27563,Human Spaceflight,NASA,LEO (ISS),NASA (CCP),Government,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"First crew rotation of the commercial crew program, following the return in August of the crewed test flight mission Crew Demo 2. Originally designated ""USCV-1"" by NASA. Carried astronauts Victor Glover, Mike Hopkins, Shannon Walker and Soichi Noguchi, for a 6-month stay aboard the ISS, during which the Boeing Starliner OFT-2 flight is expected to dock also. The first flight of the crew program was initially expected to launch in 2017, and finished final certifications in November 2020."
21-11-2020,17:17:08,F9 B5  B1063.1,Dragon Not Used,VAFB SLC-4E,Sentinel-6 Michael Freilich (Jason-CS A),1192,2628,Observation Satellite,Airbus,LEO,NASA / NOAA / ESA / EUMETSAT,Government,Europe,Success,Success (ground pad),No Ship Used,No Ship Used,"Named after the former director of NASA's Earth science program, it is a radar altimeter satellite part of the Ocean Surface Topography constellation located at 1,336 km (830 mi) and 66° inclination, and a follow-up to Jason 3 as a partnership between the United States (NOAA and NASA), Europe (EUMETSAT, ESA, CNES)."
25-11-2020,02:13:00,F9 B5  B1049.7,Dragon Not Used,CCAFS SLC-40,Starlink 15 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,First time a booster was launched for a seventh time and first time SpaceX completed four launches in a single month.
06-12-2020,16:17:08,F9 B5  B1058.4,C208.1,KSC LC-39A,SpaceX CRS-21,2972,6553,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First launch of phase 2 of the CRS contract of six launches awarded in January 2016. It was the first launch of the upgraded version Cargo Dragon 2 spacecraft, with increased payload capacity and autonomous docking to the ISS. Payloads included Will Nanoracks Bishop Airlock and CFIG-1 (Cool Flames Investigation with Gases). It's also the 100th successful Falcon 9 launch."
13-12-2020,17:30:00,F9 B5  B1051.7,Dragon Not Used,CCSFS SLC-40,SXM-7,7000,15435,Communication Satellite,SSL,GTO,Sirius XM,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Launched the largest, high-power broadcasting satellite for SiriusXM's digital audio radio service (DARS). SXM-7 was built by Maxar Technologies; intended to operate in the S-band spectrum, it will replace the SXM-3 satellite. The satellite will deliver the highest power density of any commercial satellite on-orbit, generate more than 20 kW of power, and have a large unfoldable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground. Due to the heavy weight, the payload was injected into a sub-synchronous orbit of 224 km Ã— 19,411 km (139 mi Ã— 12,061 mi) and the satellite itself will transfer to full GTO. It was the first time a commercial primary payload flew on a booster which had been flown more than 4 times before. First dedicated customer launch where the fairings were previously used."
19-12-2020,14:00:00,F9 B5  B1059.5,Dragon Not Used,KSC LC-39A,NROL-108,Classified,Classified,Communication Satellite,Classified,LEO,NRO,Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"The planned launch was not known by the public until FCC filings appeared in late September followed by confirmation from the NRO on 5 October 2020, likely a relatively light payload that allows the return of the booster to the launch site."
08-01-2021,02:15:00,F9 B5  B1060.4,Dragon Not Used,CCSFS SLC-40,Türksat 5A,3500,7718,Communication Satellite,Airbus,GTO,Türksat,Business,Turkey,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"A 3,500 kg (7,700 lb) satellite intended to be stationed at 31.0° east. This is the most powerful satellite in TÃ¼rksat's fleet and will provide Ku-band television broadcast services over Turkey, the Middle East, Europe and Africa. The satellite was injected in to a Super-synchronous transfer orbit of 280 km Ã— 55,000 km (170 mi Ã— 34,180 mi) with 17.6° inclination."
20-01-2021,13:02:00,F9 B5  B1051.8,Dragon Not Used,KSC LC-39A,Starlink 16 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,The first booster to successfully launch and land eight times. Achieved a record turnaround time between two launches of the same booster of only 38 days and brought the total of launched Starlink satellites to over 1000. SpaceX stated that the landing would occur during higher winds than usual; this test to expand the landing envelope was successfully passed by the booster.
24-01-2021,15:00:00,F9 B5  B1058.5,Dragon Not Used,CCSFS SLC-40,Transporter-1,5000,11025,Rideshare,Various,SSO,Various,Business,Various,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First dedicated smallsat rideshare launch, targeting a 525 km (326 mi) altitude orbit. The launch deployed a record 143 satellites, consisting of 120 CubeSats, 11 microsatellites, 10 Starlinks, and 2 transfer stages. In addition, 2 hosted payloads and 1 non-separating dummy satellite were launched. These include SpaceBEE (x 36), Lemur-2  (x 8), ICEYE (x 3), UVSQ-SAT, ELaNa 35 (PTD-1), and Kepler nanosats (x 8). D-Orbit ION Satellite Carrier and 10 Starlink satellites placed in a polar orbit and 2 of 15 payloads remained attached to SHERPA-FX1. Exolaunch deployed several small satellites and cubesats via their own deployment mechanisms. First flight of a Falcon 9 with a SHERPA-FX transfer stage called SHERPA-FX1."
04-02-2021,06:19:00,F9 B5  B1060.5,Dragon Not Used,CCSFS SLC-40,Strlink 18 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"This marked the fastest turnaround to date, at 27 days, and the first time a Falcon 9 flies twice within a month."
16-02-2021,03:59:37,F9 B5  B1059.6,Dragon Not Used,CCSFS SLC-40,Starlink 19 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Failure (drone ship),Of Course I Still Love You,Marmac 304,"A hole in a heat-shielding engine cover, which likely developed through fatigue, allowed recirculating hot exhaust gases to damage one of the Merlin 1D first-stage engines, causing it to shut down early during ascent. Engine-out capability of the Falcon 9 allowed the mission to continue and successfully deploy the 60 Starlink satellites to orbit. The issue caused the booster to fail its landing attempt and miss the droneship Of Course I Still Love You (OCISLY) after its entry burn, breaking the longest streak of 24 landing successes. During this mission, GO Ms. Tree and GO Ms. Chief were used for the last time to recover the fairings. After this mission, both ships were retired because SpaceX no longer plans to catch the fairings."
04-03-2021,08:24:00,F9 B5  B1049.8,Dragon Not Used,KSC LC-39A,Starlink 17 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Launch had previously been postponed multiple times, causing the payload Starlink L17 to launch after the L18 and L19 missions. Featured for the first time, a fairing which was flying on its fourth flight. The second-stage deorbit burn failed, causing an uncontrolled reentry on 26 March 2021 over the west coast of the United States."
11-03-2021,08:13:29,F9 B5  B1058.6,Dragon Not Used,CCSFS SLC-40,Starlink 20 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Twentieth operational launch of Starlink satellites, bringing the total to 1,265 (including prototypes) launched Starlink satellites."
14-03-2021,10:01:00,F9 B5  B1051.9,Dragon Not Used,KSC LC-39A,Starlink 21 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First time a first-stage booster flew and landed for the ninth time. This flight also marked the fastest turnaround time for a fairing half, at 49 days. Both fairing halves previously flew on the Transporter-1 mission."
24-03-2021,08:28:00,F9 B5  B1060.6,Dragon Not Used,CCSFS SLC-40,Starlink 22 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Fairing ""wet recovery"" achieved by contracted recovery vessel Shelia Bordelon for the first time. Both fairing halves were retrieved from the water."
07-04-2021,16:34:00,F9 B5  B1058.7,Dragon Not Used,CCSFS SLC-40,Starlink 23 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"23rd operational launch of Starlink satellites, bringing the total to 1,385 launched Starlink satellites (including prototype). This launch featured the second fastest booster turnaround time at 27 days and 8 hours (after Starlink 18 with B1060.5, which was 4 hours faster)."
23-04-2021,09:49:00,F9 B5  B1061.2,C206.2,KSC LC-39A,Crew-2,13000,28665,Human Spaceflight,NASA,LEO (ISS),NASA (CCP),Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Second operational flight of Crew Dragon for Commercial Crew Program. Transported NASA astronauts Shane Kimbrough and Megan McArthur, JAXA Astronaut Akihiko Hoshide and ESA astronaut Thomas Pesquet to the ISS. The four astronauts will spend 6 months aboard the ISS. Beginning with the Crew-2 mission, NASA has modified the contract to allow NASA astronauts to use flight-proven Dragon capsules and booster. Thus SpaceX reflew the Dragon used on Demo-2 and used Booster B1061-2 which had been used to launch Crew-1 in November 2020."
29-04-2021,03:44:00,F9 B5  B1060.7,Dragon Not Used,CCSFS SLC-40,Starlink 24 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"24th operational launch of Starlink satellites, bringing the total to 1,434 Starlink satellites still in orbit. This launch also paid tribute to Apollo 11 crew Michael Collins, who passed away hours before the launch."
04-05-2021,19:01:00,F9 B5  B1049.9,Dragon Not Used,KSC LC-39A,Starlink 25 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"25th operational launch of Starlink satellites, bringing the total to 1,494 Starlink satellites still in orbit, second time a booster flew for the ninth time."
09-05-2021,06:42:00,F9 B5  B1051.10,Dragon Not Used,CCSFS SLC-40,Starlink 27 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Booster flew and landed for a record 10th time, with reused fairings, bringing the total number of operational Starlink satellites in the first shell to approximately 1516 out of a planned 1584."
15-05-2021,22:56:00,F9 B5  B1058.8,Dragon Not Used,KSC LC-39A,Starlink 26 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Rideshare launch with a targeted orbit at 569x582, significantly higher than typical Starlink launches, to allow for needs of the rideshare payloads. Fairing ""wet recovery"" done by contracted recovery vessel Shelia Bordelon for the last time."
26-05-2021,18:59:00,F9 B5  B1063.2,Dragon Not Used,CCSFS SLC-40,Starlink 28 v1.0,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Will likely complete the first shell of the Starlink network located at 550 km altitude and containing 1584 satellites. It was 40th launch a fairing was reused, with one half being used for the 5th time (first fairing to do so) and the other for a 3rd time. This launch marks SpaceX's 100th successful launch in a row without in-flight failure since December 2015."
03-06-2021,17:29:00,F9 B5  B1067.1,C209.1,KSC LC-39A,SpaceX-CRS-22,3328,7338,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Second of a minimum of six new cargo missions under the CRS-2 contract, which NASA awarded SpaceX in 2015. Mission was flown with an uncrewed Dragon 2 capsule, which carried solar panels, catalytic reactor for the station€™s life support system, an emergency air supply system, Kurs remote control unit, and a Potable Water Dispense (PWD) filter. Also carried were the RamSat cubesat as payload for ELaNa 36, the SOAR cubesat for the University of Manchester and the first Mauritian satellite MIR-SAT1 to be launched from the station later. This was the last mission the Of Course I Still Love You droneship supported on the east coast, since SpaceX plans to launch Starlink satellites from the West Coast starting in July, which will require a droneship landing. OCISLY will be replaced by the new A Shortfall Of Gravitas droneship later this summer."
06-06-2021,04:26:00,F9 B5  B1061.3,Dragon Not Used,CCSFS SLC-40,SXM-8,7000,15435,Communication Satellite,SSL,GTO,Sirius XM,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"A large, high-power broadcasting satellite for SiriusXM's digital audio radio service (DARS) contracted together with SXM-7 to replace the aging XM-4 satellite and allow broadcast to radios without the need for large dish-type antennas on the ground."
17-06-2021,16:09:00,F9 B5  B1062.2,Dragon Not Used,CCSFS SLC-40,GPS III-05,4331,9550,Observation Satellite,Lockheed Martin,MEO,USSF,Government,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Manufacturing contract awarded February 2013. In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX. This is the first reused booster launch for a 'national security' mission. Fairing ""wet recovery"" to be achieved by contracted recovery vessel Hos Briarwood for the first time. Both fairing halves were retrieved from water."
30-06-2021,19:31:00,F9 B5  B1060.8,Dragon Not Used,CCSFS SLC-40,Transporter-2,1100,2426,Rideshare,Various,SS0,Various,Rideshare,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"A total of 88 payloads including Starlink satellites (3x), Polar Vigilance (4x), Exolaunch YAM-2 & 3, Satellogic, Capella-5 HawkEye Cluster 3 (multiple sats), Spaceflight Industries (multiple sats including on two space tugs Sherpa-FX2 Sherpa-LTE1)."
29-08-2021,07:14:00,F9 B5  B1061.4,C208.2,KSC LC-39A,SpaceX CRS-23,2200,4851,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (drone ship),A Shortfall Of Gravitas,Marmac 302,"Third of six new cargo missions NASA awarded in 2015 to SpaceX under the CRS-2 contract to be flown after the initial 20 missions of phase 1 were completed in 2020. Includes FBCE, SoFIE. First time a booster landed on SpaceX's fourth droneship, A Shortfall Of Gravitas (ASOG), marking the first use when SpaceX has three droneships in operation."
14-09-2021,03:55:00,F9 B5  B1049.10,Dragon Not Used,VAFB SLC-4E,Starlink Group 2-1 v1.5,13260,29238,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First launch of Starlink satellites from Vandenberg Space Force Base, and first West coast launch in 10 months. The 70-degree inclination launch is the first Starlink launch into a high-inclination, non-SSO orbit. The satellites were the upgraded 1.5 version that featured ""laser inter-satellite links, which are needed for high latitudes & mid ocean coverage"". It was the second booster to make a tenth flight and landing."
16-09-2021,00:02:56,F9 B5  B1062.3,C207.2,KSC LC-39A,Inspiration4,12519,27604,Human Spaceflight,SpaceX,LEO,Jared Isaacman,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"SpaceX signed in February 2021, its first all-civilian flight for a crewed spacecraft with Jared Isaacman (Leadership), founder and CEO of Shift4 Payments, who commands and pilots the mission, and who donated the three other seats in the Crew Dragon vehicle's launch to LEO. The first of these three seats (Generosity) was won by Christopher Sembroski in a lottery, who donated to St. Jude Children's Research Hospital, the second seat (Hope) was awarded to Hayley Arceneaux, an ambassador associated with that hospital, and the third seat (Prosperity) was awarded to Sian Proctor, the winner of a contest between entrepreneurs who use Shift4Shop. The seats were awarded on 30 March 2021. The mission reached a circular orbit of about 585 km and lasted about three days. The docking adapter of Crew Dragon Resilience was replaced by a dome window."
11-11-2021,02:03:31,F9 B5 B1067.2,C210.1,KSC LC-39A,Crew-3,13000,28665,Human Spaceflight,NASA,LEO (ISS),NASA (CCP),Government,United States of America,Success,Success (drone ship),A Shortfall Of Gravitas,Marmac 302,"SpaceX's third operational Crew Dragon flight carried NASA astronauts Thomas Marshburn, Kayla Barron and Raja Chari as well as German ESA astronaut Matthias Maurer. It also carried up to 100 kg (220 lb) of cargo to the ISS."
13-11-2021,12:19:00,F9 B5 B1058.9,Dragon Not Used,CCSFS SLC-40,Starlink Group 4-1 v1.5,15600,34398,Starlink,SpaceX,LEO,SpaceX,Business,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"First east-coast Starlink launch after the v1.0 L28 launch which completed the first shell of the Starlink network located at 550 km altitude. Fairing ""wet recovery"" to be achieved by SpaceX multipurpose ship, Bob for the first time. Both fairing halves were retrieved from water."
24-11-2021,06:21:00,F9 B5 B1063.3,Dragon Not Used,CCSFS SLC-40,DART,610,1340,Defense ,Applied Physics Laboratory,Heliocentric,NASA,Government,United States of America,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,Dart mission will measure the kinetic effects of crashing an impactor into the surface of the moon of 65803 Didymos asteroid. It will be the first mission to demonstrate asteroid redirect capability. The launch contract was awarded to SpaceX for $69 million.
